CustomerID,Lookalikes
C0022,"[('C0149', 0.9983410313182023), ('C0200', 0.9974903404802603), ('C0108', 0.9969333359487448)]"
C0023,"[('C0168', 0.9874798830660191), ('C0051', 0.9839961737510046), ('C0105', 0.9836289302102985)]"
C0024,"[('C0179', 0.9999725991298617), ('C0081', 0.9997052851610215), ('C0194', 0.9976102924128157)]"
C0025,"[('C0144', 0.9982569942626347), ('C0159', 0.994137131221583), ('C0119', 0.9912521387391298)]"
C0026,"[('C0107', 0.9997622425170843), ('C0001', 0.9983922275818357), ('C0183', 0.9961854564943944)]"
C0027,"[('C0174', 0.9965710536253451), ('C0142', 0.9943248022085033), ('C0047', 0.9941085433509933)]"
C0028,"[('C0087', 0.9968193527311139), ('C0045', 0.9939860677795519), ('C0068', 0.992019868447064)]"
C0029,"[('C0088', 0.997175259337243), ('C0062', 0.9918222209712931), ('C0036', 0.9912792978100631)]"
C0030,"[('C0176', 0.9961302057006538), ('C0106', 0.9955832257422645), ('C0098', 0.9863661026695015)]"
C0031,"[('C0002', 0.9994275213462663), ('C0172', 0.9988410754120047), ('C0076', 0.9940355912250403)]"
C0032,"[('C0043', 0.996693056395667), ('C0015', 0.9942301148398005), ('C0063', 0.9926184062790144)]"
C0033,"[('C0150', 0.9979656010238158), ('C0058', 0.9979038709734699), ('C0083', 0.9956553709638001)]"
C0034,"[('C0134', 0.9931408433416796), ('C0049', 0.9849191219501194), ('C0098', 0.9773745097252693)]"
C0035,"[('C0069', 0.9968619989585632), ('C0120', 0.996646172073127), ('C0146', 0.9883523120579079)]"
C0036,"[('C0062', 0.9988353043859082), ('C0167', 0.9959652513213937), ('C0129', 0.9936053927799953)]"
C0037,"[('C0194', 0.9942724390614148), ('C0079', 0.9859905075123121), ('C0179', 0.9857830427693111)]"
C0038,"[('C0086', 0.999872241171439), ('C0003', 0.9964517757979425), ('C0160', 0.9943415838838567)]"
C0039,"[('C0084', 0.990853812883188), ('C0162', 0.9848784576602768), ('C0105', 0.9768486224854827)]"
C0040,"[('C0185', 0.9888062546254306), ('C0092', 0.9732330615945257), ('C0056', 0.97096593946181)]"
C0041,"[('C0004', 0.9911241361601567), ('C0173', 0.9900811428258355), ('C0082', 0.9807236788533437)]"
C0042,"[('C0061', 0.9984892775364904), ('C0103', 0.9982081842717454), ('C0167', 0.992005559703167)]"
C0043,"[('C0071', 0.9977323052139989), ('C0063', 0.9969138887154783), ('C0032', 0.996693056395667)]"
C0044,"[('C0115', 0.9970582787912431), ('C0050', 0.9964021027616804), ('C0074', 0.9962320760844343)]"
C0045,"[('C0068', 0.9990067569259846), ('C0102', 0.9943203817735558), ('C0028', 0.9939860677795519)]"
C0046,"[('C0163', 0.9995977801820042), ('C0012', 0.9967381895918863), ('C0138', 0.9919852815922955)]"
C0047,"[('C0174', 0.997019038440113), ('C0147', 0.9968355028671082), ('C0070', 0.9948469332720697)]"
C0048,"[('C0183', 0.9999999784969607), ('C0107', 0.9978377309727969), ('C0026', 0.9961673389040744)]"
C0049,"[('C0134', 0.9946641354138589), ('C0111', 0.994634940190988), ('C0034', 0.9849191219501194)]"
C0050,"[('C0074', 0.9999934039306795), ('C0115', 0.9998328954005021), ('C0044', 0.9964021027616804)]"
C0051,"[('C0096', 0.9974243555371833), ('C0155', 0.9946262983079719), ('C0114', 0.9915298902028478)]"
C0052,"[('C0172', 0.9973193082779159), ('C0166', 0.996488077652649), ('C0189', 0.9960675680633772)]"
C0053,"[('C0093', 0.9982303760368276), ('C0013', 0.9920499256243183), ('C0145', 0.9919340675387429)]"
C0054,"[('C0188', 0.9924742870755485), ('C0028', 0.9885290310832389), ('C0087', 0.9871379891244991)]"
C0055,"[('C0072', 0.9955073997199441), ('C0127', 0.9905086469800962), ('C0001', 0.9897837471480383)]"
C0056,"[('C0106', 0.9954642184485859), ('C0098', 0.9890700382995609), ('C0092', 0.9887025472270113)]"
C0057,"[('C0153', 0.9967274006893816), ('C0090', 0.9953678681209341), ('C0018', 0.9900127581796518)]"
C0058,"[('C0150', 0.9992186596618475), ('C0033', 0.9979038709734699), ('C0009', 0.9958488179141219)]"
C0059,"[('C0104', 0.9974358364776323), ('C0163', 0.9800015107700093), ('C0065', 0.9769208686492399)]"
C0060,"[('C0014', 0.9994265406555661), ('C0097', 0.9989465955581701), ('C0151', 0.9964779772932285)]"
C0061,"[('C0042', 0.9984892775364904), ('C0103', 0.9963613365222218), ('C0167', 0.9925129736839747)]"
C0062,"[('C0036', 0.9988353043859082), ('C0029', 0.9918222209712931), ('C0167', 0.9904753390935003)]"
C0063,"[('C0123', 0.9985908377982345), ('C0015', 0.998443478158334), ('C0043', 0.9969138887154783)]"
C0064,"[('C0011', 0.9967958919481716), ('C0139', 0.9962229107412067), ('C0006', 0.995933349361351)]"
C0065,"[('C0059', 0.9769208686492399), ('C0104', 0.9767078770590125), ('C0163', 0.9402506094128235)]"
C0066,"[('C0016', 0.9965199067821628), ('C0118', 0.9916504862958495), ('C0115', 0.9807780788372151)]"
C0067,"[('C0149', 0.9947693482807712), ('C0022', 0.9889531883718495), ('C0200', 0.9790054467144219)]"
C0068,"[('C0045', 0.9990067569259846), ('C0102', 0.997653368247785), ('C0087', 0.9944264438595056)]"
C0069,"[('C0035', 0.9968619989585632), ('C0127', 0.9917344326985179), ('C0120', 0.9914575010126359)]"
C0070,"[('C0174', 0.9981917267529928), ('C0193', 0.9966276107488362), ('C0191', 0.9965400941886974)]"
C0071,"[('C0043', 0.9977323052139989), ('C0132', 0.9948748007213893), ('C0121', 0.9941916455251735)]"
C0072,"[('C0190', 0.9963113437792883), ('C0055', 0.9955073997199441), ('C0001', 0.9909637178225026)]"
C0073,"[('C0019', 0.9971420102274732), ('C0142', 0.9967452018489025), ('C0177', 0.9915542129550702)]"
C0074,"[('C0050', 0.9999934039306795), ('C0115', 0.9997599035120095), ('C0044', 0.9962320760844343)]"
C0075,"[('C0045', 0.9782441878022453), ('C0028', 0.968660005378402), ('C0068', 0.9686395636353159)]"
C0076,"[('C0166', 0.9998229733913799), ('C0189', 0.9966227801835617), ('C0172', 0.9965089427288862)]"
C0077,"[('C0062', 0.9890267508108658), ('C0083', 0.9889862965689421), ('C0036', 0.9812623592334151)]"
C0078,"[('C0015', 0.9960790407633664), ('C0123', 0.9952044164322488), ('C0063', 0.9901340661378946)]"
C0079,"[('C0117', 0.9980734850919601), ('C0037', 0.9859905075123121), ('C0154', 0.9844708360673753)]"
C0080,"[('C0128', 0.999233996110058), ('C0110', 0.9985219093249861), ('C0014', 0.9950777422286189)]"
C0081,"[('C0024', 0.9997052851610215), ('C0179', 0.9994981799022796), ('C0194', 0.9956389779299577)]"
C0082,"[('C0156', 0.9841211987237518), ('C0041', 0.9807236788533437), ('C0173', 0.9697690161747837)]"
C0083,"[('C0009', 0.9975390580918311), ('C0150', 0.9962143647829798), ('C0033', 0.9956553709638001)]"
C0084,"[('C0162', 0.9965995512808621), ('C0039', 0.990853812883188), ('C0101', 0.9714918496448406)]"
C0085,"[('C0007', 0.9974706415875025), ('C0146', 0.9974418663348253), ('C0074', 0.9911698000600273)]"
C0086,"[('C0038', 0.999872241171439), ('C0003', 0.9964559423169761), ('C0160', 0.9952408200749319)]"
C0087,"[('C0102', 0.9973873577037353), ('C0028', 0.9968193527311139), ('C0188', 0.994739881804158)]"
C0088,"[('C0029', 0.997175259337243), ('C0129', 0.9964876241426136), ('C0036', 0.9906381173167846)]"
C0089,"[('C0159', 0.9898083193983377), ('C0178', 0.9893176774123664), ('C0052', 0.9751692475346316)]"
C0090,"[('C0057', 0.9953678681209341), ('C0153', 0.9879678595599573), ('C0018', 0.9810210807536908)]"
C0091,"[('C0039', 0.9512246854748384), ('C0084', 0.9500424126770154), ('C0162', 0.9210938916664565)]"
C0092,"[('C0185', 0.9926065770776231), ('C0056', 0.9887025472270113), ('C0129', 0.9856938621731306)]"
C0093,"[('C0053', 0.9982303760368276), ('C0145', 0.9956375646980634), ('C0143', 0.988666861053484)]"
C0094,"[('C0121', 0.997863751846042), ('C0071', 0.9905740238012823), ('C0132', 0.9873175954224414)]"
C0095,"[('C0198', 0.994939752820194), ('C0020', 0.9948986004473398), ('C0140', 0.9926787935246031)]"
C0096,"[('C0051', 0.9974243555371833), ('C0114', 0.9886868815105337), ('C0155', 0.986567420302902)]"
C0097,"[('C0014', 0.9993022811531757), ('C0060', 0.9989465955581701), ('C0128', 0.9953094267036794)]"
C0098,"[('C0106', 0.9958212945675641), ('C0056', 0.9890700382995609), ('C0030', 0.9863661026695015)]"
C0099,"[('C0143', 0.994686057248699), ('C0145', 0.9896080578003881), ('C0013', 0.9861746873451712)]"
C0100,"[('C0170', 0.996767814695192), ('C0196', 0.987652279229568), ('C0037', 0.9812792805930337)]"
C0101,"[('C0102', 0.994742606725211), ('C0068', 0.9941379550370499), ('C0148', 0.9928597992750372)]"
C0102,"[('C0068', 0.997653368247785), ('C0087', 0.9973873577037353), ('C0101', 0.994742606725211)]"
C0103,"[('C0042', 0.9982081842717454), ('C0167', 0.9971925678030732), ('C0061', 0.9963613365222218)]"
C0104,"[('C0059', 0.9974358364776323), ('C0163', 0.9895133970358451), ('C0046', 0.9861516561860003)]"
C0105,"[('C0155', 0.9900069749166389), ('C0023', 0.9836289302102985), ('C0148', 0.98238493071543)]"
C0106,"[('C0098', 0.9958212945675641), ('C0030', 0.9955832257422645), ('C0056', 0.9954642184485859)]"
C0107,"[('C0026', 0.9997622425170843), ('C0183', 0.9978513396428675), ('C0048', 0.9978377309727969)]"
C0108,"[('C0200', 0.9998053640946569), ('C0022', 0.9969333359487448), ('C0149', 0.9930041340302196)]"
C0109,"[('C0175', 0.9707173017505705), ('C0143', 0.9057753959692817), ('C0145', 0.8909106621839619)]"
C0110,"[('C0128', 0.9989196578621196), ('C0080', 0.9985219093249861), ('C0119', 0.9946116831162756)]"
C0111,"[('C0049', 0.994634940190988), ('C0134', 0.987423118603692), ('C0030', 0.9707325644353586)]"
C0112,"[('C0192', 0.9996488288120894), ('C0199', 0.9974782294661423), ('C0197', 0.9973559981622108)]"
C0113,"[('C0136', 0.9934211101726779), ('C0008', 0.9888081946037839), ('C0124', 0.9805232283697018)]"
C0114,"[('C0148', 0.9979131044839796), ('C0155', 0.9955465775005401), ('C0051', 0.9915298902028478)]"
C0115,"[('C0050', 0.9998328954005021), ('C0074', 0.9997599035120095), ('C0044', 0.9970582787912431)]"
C0116,"[('C0189', 0.9995037572554245), ('C0133', 0.9993965068652093), ('C0166', 0.9955006571458341)]"
C0117,"[('C0079', 0.9980734850919601), ('C0154', 0.9921096233089669), ('C0194', 0.9845266575587478)]"
C0118,"[('C0184', 0.9964166074148668), ('C0127', 0.9947942811946294), ('C0016', 0.9922669169810289)]"
C0119,"[('C0110', 0.9946116831162756), ('C0144', 0.9927877669201965), ('C0025', 0.9912521387391298)]"
C0120,"[('C0146', 0.9967198974610393), ('C0035', 0.996646172073127), ('C0007', 0.996640362728269)]"
C0121,"[('C0094', 0.997863751846042), ('C0071', 0.9941916455251735), ('C0043', 0.9922773797899855)]"
C0122,"[('C0182', 0.9997767025248943), ('C0138', 0.9932857122483328), ('C0012', 0.9914096101149957)]"
C0123,"[('C0015', 0.9990819534600558), ('C0063', 0.9985908377982345), ('C0078', 0.9952044164322488)]"
C0124,"[('C0008', 0.9979933035209262), ('C0136', 0.9925972447914236), ('C0195', 0.9890206173602021)]"
C0125,"[('C0135', 0.9991635213028599), ('C0191', 0.9971746376711782), ('C0193', 0.9971565212759566)]"
C0126,"[('C0006', 0.9936330780483202), ('C0064', 0.9914095368820431), ('C0187', 0.9888955974252318)]"
C0127,"[('C0184', 0.9989323765681853), ('C0001', 0.9957107856249899), ('C0118', 0.9947942811946294)]"
C0128,"[('C0080', 0.999233996110058), ('C0110', 0.9989196578621196), ('C0014', 0.997859239699387)]"
C0129,"[('C0167', 0.9978721098236435), ('C0088', 0.9964876241426136), ('C0036', 0.9936053927799953)]"
C0130,"[('C0020', 0.9985821490458376), ('C0198', 0.9985275930229124), ('C0095', 0.9885708542255938)]"
C0131,"[('C0132', 0.9976422539069918), ('C0071', 0.9940100207568463), ('C0063', 0.9897260168214141)]"
C0132,"[('C0131', 0.9976422539069918), ('C0071', 0.9948748007213893), ('C0073', 0.9904956054627176)]"
C0133,"[('C0116', 0.9993965068652093), ('C0189', 0.9978063708598225), ('C0164', 0.994896866637542)]"
C0134,"[('C0049', 0.9946641354138589), ('C0034', 0.9931408433416796), ('C0111', 0.987423118603692)]"
C0135,"[('C0125', 0.9991635213028599), ('C0193', 0.9966091846629455), ('C0191', 0.9965089431828658)]"
C0136,"[('C0008', 0.9982903428594397), ('C0113', 0.9934211101726779), ('C0124', 0.9925972447914236)]"
C0137,"[('C0193', 0.9965324392768032), ('C0191', 0.9962874606179398), ('C0135', 0.9959153078123069)]"
C0138,"[('C0122', 0.9932857122483328), ('C0163', 0.9923903116847766), ('C0046', 0.9919852815922955)]"
C0139,"[('C0011', 0.9999764055334825), ('C0064', 0.9962229107412067), ('C0006', 0.9880188323420669)]"
C0140,"[('C0095', 0.9926787935246031), ('C0005', 0.992656715402636), ('C0186', 0.9914087436183601)]"
C0141,"[('C0099', 0.9416157154263607), ('C0143', 0.9063558610620965), ('C0175', 0.9060073669351267)]"
C0142,"[('C0019', 0.9999221132438288), ('C0073', 0.9967452018489025), ('C0027', 0.9943248022085033)]"
C0143,"[('C0145', 0.9982385768123274), ('C0099', 0.994686057248699), ('C0093', 0.988666861053484)]"
C0144,"[('C0025', 0.9982569942626347), ('C0119', 0.9927877669201965), ('C0159', 0.9860230663325976)]"
C0145,"[('C0143', 0.9982385768123274), ('C0093', 0.9956375646980634), ('C0013', 0.9922427122329386)]"
C0146,"[('C0007', 0.9999973494964174), ('C0085', 0.9974418663348253), ('C0120', 0.9967198974610393)]"
C0147,"[('C0161', 0.9987616840163104), ('C0047', 0.9968355028671082), ('C0174', 0.9880489567846109)]"
C0148,"[('C0114', 0.9979131044839796), ('C0155', 0.9978287218249581), ('C0101', 0.9928597992750372)]"
C0149,"[('C0022', 0.9983410313182023), ('C0067', 0.9947693482807712), ('C0200', 0.9946954933410743)]"
C0150,"[('C0058', 0.9992186596618475), ('C0009', 0.9985821608084866), ('C0033', 0.9979656010238158)]"
C0151,"[('C0060', 0.9964779772932285), ('C0014', 0.995148052147463), ('C0128', 0.9935430903225647)]"
C0152,"[('C0164', 0.9965152142940726), ('C0158', 0.9926471127628984), ('C0154', 0.9924836659575571)]"
C0153,"[('C0018', 0.9978659587988894), ('C0057', 0.9967274006893816), ('C0021', 0.9895996977823557)]"
C0154,"[('C0152', 0.9924836659575571), ('C0117', 0.9921096233089669), ('C0158', 0.9868258054419523)]"
C0155,"[('C0148', 0.9978287218249581), ('C0114', 0.9955465775005401), ('C0051', 0.9946262983079719)]"
C0156,"[('C0165', 0.9884026851071591), ('C0082', 0.9841211987237518), ('C0041', 0.979993822972137)]"
C0157,"[('C0197', 0.9970653498256673), ('C0199', 0.9967320734292159), ('C0112', 0.9888778474304043)]"
C0158,"[('C0152', 0.9926471127628984), ('C0154', 0.9868258054419523), ('C0164', 0.9815816167961156)]"
C0159,"[('C0025', 0.994137131221583), ('C0089', 0.9898083193983377), ('C0172', 0.9891912557848723)]"
C0160,"[('C0003', 0.9984305405582158), ('C0086', 0.9952408200749319), ('C0038', 0.9943415838838567)]"
C0161,"[('C0147', 0.9987616840163104), ('C0047', 0.9945581353507478), ('C0070', 0.987998372346637)]"
C0162,"[('C0084', 0.9965995512808621), ('C0101', 0.9877225406599092), ('C0039', 0.9848784576602768)]"
C0163,"[('C0046', 0.9995977801820042), ('C0012', 0.9940485601045076), ('C0138', 0.9923903116847766)]"
C0164,"[('C0152', 0.9965152142940726), ('C0133', 0.994896866637542), ('C0116', 0.9922757746304924)]"
C0165,"[('C0156', 0.9884026851071591), ('C0041', 0.9737180601865221), ('C0004', 0.9676081184774723)]"
C0166,"[('C0076', 0.9998229733913799), ('C0189', 0.9979914021025675), ('C0052', 0.996488077652649)]"
C0167,"[('C0129', 0.9978721098236435), ('C0103', 0.9971925678030732), ('C0036', 0.9959652513213937)]"
C0168,"[('C0023', 0.9874798830660191), ('C0048', 0.9486276885723608), ('C0183', 0.948562054567601)]"
C0169,"[('C0017', 0.9977651039153044), ('C0018', 0.990213270153569), ('C0153', 0.9801447314591928)]"
C0170,"[('C0100', 0.996767814695192), ('C0182', 0.9891470568582944), ('C0122', 0.9891065608293297)]"
C0171,"[('C0021', 0.9902322797155463), ('C0057', 0.98727300464713), ('C0153', 0.9855558299429432)]"
C0172,"[('C0031', 0.9988410754120047), ('C0052', 0.9973193082779159), ('C0002', 0.9966409048022099)]"
C0173,"[('C0041', 0.9900811428258355), ('C0021', 0.9842937421039273), ('C0004', 0.9821281062716326)]"
C0174,"[('C0070', 0.9981917267529928), ('C0047', 0.997019038440113), ('C0191', 0.9966798533549419)]"
C0175,"[('C0143', 0.9785250943606424), ('C0109', 0.9707173017505705), ('C0099', 0.9695653166096274)]"
C0176,"[('C0030', 0.9961302057006538), ('C0010', 0.9908715924586705), ('C0088', 0.9895216759862053)]"
C0177,"[('C0073', 0.9915542129550702), ('C0125', 0.9913165929758702), ('C0132', 0.9877664742338519)]"
C0178,"[('C0052', 0.9949991585982005), ('C0164', 0.9919657988933759), ('C0089', 0.9893176774123664)]"
C0179,"[('C0024', 0.9999725991298617), ('C0081', 0.9994981799022796), ('C0194', 0.9980944291417293)]"
C0181,"[('C0081', 0.9949158510021948), ('C0024', 0.99327583160967), ('C0179', 0.99265924712701)]"
C0182,"[('C0122', 0.9997767025248943), ('C0012', 0.9908761334297584), ('C0138', 0.9906192600030804)]"
C0183,"[('C0048', 0.9999999784969607), ('C0107', 0.9978513396428675), ('C0026', 0.9961854564943944)]"
C0184,"[('C0127', 0.9989323765681853), ('C0118', 0.9964166074148668), ('C0001', 0.9962410373725539)]"
C0185,"[('C0092', 0.9926065770776231), ('C0040', 0.9888062546254306), ('C0056', 0.9749875637604634)]"
C0186,"[('C0005', 0.9981417594854191), ('C0112', 0.9972757554820326), ('C0192', 0.9960379713358323)]"
C0187,"[('C0006', 0.9929147154915453), ('C0126', 0.9888955974252318), ('C0064', 0.9788307892764315)]"
C0188,"[('C0087', 0.994739881804158), ('C0054', 0.9924742870755485), ('C0102', 0.988909242955089)]"
C0189,"[('C0116', 0.9995037572554245), ('C0166', 0.9979914021025675), ('C0133', 0.9978063708598225)]"
C0190,"[('C0072', 0.9963113437792883), ('C0055', 0.9846876552200006), ('C0001', 0.9794113278803417)]"
C0191,"[('C0193', 0.9999958120424242), ('C0125', 0.9971746376711782), ('C0174', 0.9966798533549419)]"
C0192,"[('C0112', 0.9996488288120894), ('C0005', 0.9977266232700762), ('C0199', 0.9969603975984562)]"
C0193,"[('C0191', 0.9999958120424242), ('C0125', 0.9971565212759566), ('C0070', 0.9966276107488362)]"
C0194,"[('C0179', 0.9980944291417293), ('C0024', 0.9976102924128157), ('C0081', 0.9956389779299577)]"
C0195,"[('C0124', 0.9890206173602021), ('C0008', 0.9783759225244596), ('C0182', 0.9721295928690358)]"
C0196,"[('C0100', 0.987652279229568), ('C0079', 0.9820544360085329), ('C0170', 0.9722570836086507)]"
C0197,"[('C0199', 0.9999285640878314), ('C0112', 0.9973559981622108), ('C0157', 0.9970653498256673)]"
C0198,"[('C0020', 0.9999987365721911), ('C0130', 0.9985275930229124), ('C0095', 0.994939752820194)]"
C0199,"[('C0197', 0.9999285640878314), ('C0112', 0.9974782294661423), ('C0192', 0.9969603975984562)]"
C0200,"[('C0108', 0.9998053640946569), ('C0022', 0.9974903404802603), ('C0149', 0.9946954933410743)]"
